time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
516,12.85162460,77.66465360,28,0.00000,0.00000,0,0
1558,12.85162460,77.66465360,28,0.00000,0.00000,0,0
2561,12.85162460,77.66465360,28,0.00000,0.00000,0,0
3559,12.85162460,77.66465360,28,0.00000,0.00000,0,0
4575,12.85162460,77.66465360,28,0.00000,0.00000,0,0
5567,12.85162460,77.66465360,28,0.00000,0.00000,0,0
6559,12.85142060,77.66477990,29,0.00000,0.00000,0,0
7558,12.85142060,77.66477990,29,0.00000,0.00000,0,0
8560,12.85142060,77.66477990,29,0.00000,0.00000,0,0
9608,12.85142060,77.66477990,29,0.00000,0.00000,0,0
10615,12.85141270,77.66479130,25,0.00000,0.00000,0,0
11613,12.85141270,77.66479130,25,0.00000,0.00000,0,0
12663,12.85141270,77.66479130,25,0.00000,0.00000,0,0
13658,12.85141270,77.66479130,25,0.00000,0.00000,0,0
14665,12.85141270,77.66479130,25,0.00000,0.00000,0,0
15659,12.85141270,77.66479130,25,0.00000,0.00000,0,0
16662,12.85141270,77.66479130,25,0.00000,0.00000,0,0
17658,12.85141270,77.66479130,25,0.00000,0.00000,0,0
18665,12.85141270,77.66479130,25,0.00000,0.00000,0,0
19660,12.85141270,77.66479130,25,0.00000,0.00000,0,0
20718,12.85127600,77.66478460,27,0.00000,0.00000,0,0
21759,12.85127600,77.66478460,27,0.00000,0.00000,0,0
22763,12.85127600,77.66478460,27,0.00000,0.00000,0,0
23812,12.85127600,77.66478460,27,0.00000,0.00000,0,0
24858,12.85127600,77.66478460,27,0.00000,0.00000,0,0
25861,12.85127600,77.66478460,27,0.00000,0.00000,0,0
26857,12.85127600,77.66478460,27,0.00000,0.00000,0,0
27859,12.85127600,77.66478460,27,0.00000,0.00000,0,0
28858,12.85127600,77.66478460,27,0.00000,0.00000,0,0
29858,12.85127600,77.66478460,27,0.00000,0.00000,0,0
30910,12.85093730,77.66472540,22,0.00000,0.00000,0,0
31962,12.85093730,77.66472540,22,0.00000,0.00000,0,0
32965,12.85093730,77.66472540,22,0.00000,0.00000,0,0
33961,12.85093730,77.66472540,22,0.00000,0.00000,0,0
34978,12.85093730,77.66472540,22,0.00000,0.00000,0,0
